MapFromString	MapToString	Comment # File: PythonUtilityMappingAnnotated.tsv October 1, 2020
가	가	U+1100 (HANGUL CHOSEONG KIYEOK) U+1161 (HANGUL JUNGSEONG A) -> U+AC00 (HANGUL SYLLABLE GA)
나	나	U+1102 (HANGUL CHOSEONG NIEUN) U+1161 (HANGUL JUNGSEONG A) -> U+B098 (HANGUL SYLLABLE NA)
다	다	U+1103 (HANGUL CHOSEONG TIKEUT) U+1161 (HANGUL JUNGSEONG A) -> U+B2E4 (HANGUL SYLLABLE DA)
라	라	U+1105 (HANGUL CHOSEONG RIEUL) U+1161 (HANGUL JUNGSEONG A) -> U+B77C (HANGUL SYLLABLE RA)
마	마	U+1106 (HANGUL CHOSEONG MIEUM) U+1161 (HANGUL JUNGSEONG A) -> U+B9C8 (HANGUL SYLLABLE MA)
바	바	U+1107 (HANGUL CHOSEONG PIEUP) U+1161 (HANGUL JUNGSEONG A) -> U+BC14 (HANGUL SYLLABLE BA)
사	사	U+1109 (HANGUL CHOSEONG SIOS) U+1161 (HANGUL JUNGSEONG A) -> U+C0AC (HANGUL SYLLABLE SA)
아	아	U+110B (HANGUL CHOSEONG IEUNG) U+1161 (HANGUL JUNGSEONG A) -> U+C544 (HANGUL SYLLABLE A)
오	오	U+110B (HANGUL CHOSEONG IEUNG) U+1169 (HANGUL JUNGSEONG O) U+110C (HANGUL CHOSEONG CIEUC) U+1165 (HANGUL JUNGSEONG EO) U+11AB (HANGUL JONGSEONG NIEUN) -> U+C624 (HANGUL SYLLABLE O)
오	오	U+110B (HANGUL CHOSEONG IEUNG) U+1169 (HANGUL JUNGSEONG O) U+1112 (HANGUL CHOSEONG HIEUH) U+116E (HANGUL JUNGSEONG U) -> U+C624 (HANGUL SYLLABLE O)
후	후	U+110B (HANGUL CHOSEONG IEUNG) U+1169 (HANGUL JUNGSEONG O) U+1112 (HANGUL CHOSEONG HIEUH) U+116E (HANGUL JUNGSEONG U) -> U+D6C4 (HANGUL SYLLABLE HU)
우	우	U+110B (HANGUL CHOSEONG IEUNG) U+116E (HANGUL JUNGSEONG U) -> U+C6B0 (HANGUL SYLLABLE U)
자	자	U+110C (HANGUL CHOSEONG CIEUC) U+1161 (HANGUL JUNGSEONG A) -> U+C790 (HANGUL SYLLABLE JA)
주	주	U+110C (HANGUL CHOSEONG CIEUC) U+116E (HANGUL JUNGSEONG U) -> U+C8FC (HANGUL SYLLABLE JU)
의	의	U+110C (HANGUL CHOSEONG CIEUC) U+116E (HANGUL JUNGSEONG U) U+110B (HANGUL CHOSEONG IEUNG) U+1174 (HANGUL JUNGSEONG YI) -> U+C758 (HANGUL SYLLABLE YI)
주	주	U+110C (HANGUL CHOSEONG CIEUC) U+116E (HANGUL JUNGSEONG U) U+110B (HANGUL CHOSEONG IEUNG) U+1174 (HANGUL JUNGSEONG YI) -> U+C8FC (HANGUL SYLLABLE JU)
차	차	U+110E (HANGUL CHOSEONG CHIEUCH) U+1161 (HANGUL JUNGSEONG A) -> U+CC28 (HANGUL SYLLABLE CA)
고	고	U+110E (HANGUL CHOSEONG CHIEUCH) U+1161 (HANGUL JUNGSEONG A) U+11B7 (HANGUL JONGSEONG MIEUM) U+1100 (HANGUL CHOSEONG KIYEOK) U+1169 (HANGUL JUNGSEONG O) -> U+ACE0 (HANGUL SYLLABLE GO)
카	카	U+110F (HANGUL CHOSEONG KHIEUKH) U+1161 (HANGUL JUNGSEONG A) -> U+CE74 (HANGUL SYLLABLE KA)
타	타	U+1110 (HANGUL CHOSEONG THIEUTH) U+1161 (HANGUL JUNGSEONG A) -> U+D0C0 (HANGUL SYLLABLE TA)
파	파	U+1111 (HANGUL CHOSEONG PHIEUPH) U+1161 (HANGUL JUNGSEONG A) -> U+D30C (HANGUL SYLLABLE PA)
하	하	U+1112 (HANGUL CHOSEONG HIEUH) U+1161 (HANGUL JUNGSEONG A) -> U+D558 (HANGUL SYLLABLE HA)
전	전	U+110B (HANGUL CHOSEONG IEUNG) U+1169 (HANGUL JUNGSEONG O) U+110C (HANGUL CHOSEONG CIEUC) U+1165 (HANGUL JUNGSEONG EO) U+11AB (HANGUL JONGSEONG NIEUN) -> U+C804 (HANGUL SYLLABLE JEON)
참	참	U+110E (HANGUL CHOSEONG CHIEUCH) U+1161 (HANGUL JUNGSEONG A) U+11B7 (HANGUL JONGSEONG MIEUM) U+1100 (HANGUL CHOSEONG KIYEOK) U+1169 (HANGUL JUNGSEONG O) -> U+CC38 (HANGUL SYLLABLE CAM)
